2025-07-06 16:56:57,226 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:56:57,804 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:56:58,375 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:56:58,918 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:56:59,556 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:57:00,092 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:57:00,682 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:57:01,223 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:57:01,838 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:57:02,416 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:21,823 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:22,357 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:23,146 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:23,744 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:24,335 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:24,868 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:25,577 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:26,140 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:26,838 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:27,414 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:28,367 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:29,123 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:29,778 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:30,504 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:31,112 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:31,645 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:32,287 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:32,852 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:33,494 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:34,102 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:34,713 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:35,246 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:35,832 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:36,455 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:37,029 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:37,633 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:38,256 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:38,957 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:39,605 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:40,171 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:40,811 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:41,392 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:42,152 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:42,936 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:43,661 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:44,388 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:44,952 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:45,517 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:46,137 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:46,841 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:47,558 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:48,110 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:48,905 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:49,531 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:50,252 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:50,943 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:51,646 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:52,251 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:53,039 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:53,634 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:54,286 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:54,862 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:55,540 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:56,273 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:56,990 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:57,552 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:58,148 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:58,708 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
2025-07-06 16:58:59,326 | INFO | utils.database | Successfully Inserted DataFrame into optionchain
2025-07-06 16:58:59,945 | INFO | utils.database | Successfully Inserted DataFrame into optionchain_snapshots
